<usuário>/<repositório>,ID,Número,Titulo,Nº de comentários,Data de criação,Data da última atualização,Data de conclusão,Nº de perguntas no SO,Nº de respostas no SO,Nº de visualizações no SO
facebook/react,MDU6SXNzdWUyNjc5MDIyNDQ=,11347,RFC: Plan for custom element attributes/properties in React 18,129,2017-10-24T05:28:49Z,2020-11-11T15:27:51Z,-,0,0,0
facebook/react,MDU6SXNzdWUyNzI2MTUyODM=,11503,Formalize top-level ES exports,104,2017-11-09T15:56:42Z,2020-11-11T19:48:22Z,-,0,0,0
facebook/react,MDU6SXNzdWUyNjkxNDg4MjQ=,11387,createPortal: support option to stop propagation of events in React tree,103,2017-10-27T15:36:49Z,2020-08-18T12:17:05Z,-,0,0,0
tensorflow/tensorflow,MDU6SXNzdWUxMTU5MjgwOTc=,22,OpenCL support,541,2015-11-09T17:41:26Z,2019-03-19T17:24:45Z,-,1506,1440,2052196
tensorflow/tensorflow,MDU6SXNzdWUzOTMzMzQyNzA=,24496,Could not create cudnn handle: CUDNN_STATUS_INTERNAL_ERROR,179,2018-12-21T06:29:31Z,2020-10-23T09:21:34Z,-,0,0,0
tensorflow/tensorflow,MDU6SXNzdWU2MTYyODkxMTI=,39439,"Windows C++ tensorflow_cc.dll has overlapping memory address between string gpu options for ""allocator type"" and ""visible device list""",140,2020-05-12T01:20:51Z,2020-10-03T06:57:14Z,-,0,0,0
tensorflow/tensorflow,MDU6SXNzdWU0MTY1MTc3MjQ=,26297,Tensorflow lite gpu delegate inference using opengl and SSBO in android,102,2019-03-03T13:45:38Z,2020-06-17T14:57:16Z,-,1,1,754
tensorflow/tensorflow,MDU6SXNzdWUzODA3Njc4MDQ=,23747,Feature Request - Deeplab TFLITE Android Application,87,2018-11-14T16:03:37Z,2020-08-18T12:58:44Z,-,0,0,0
twbs/bootstrap,MDU6SXNzdWUzMjY1ODU4NDk=,26596,Use custom properties (CSS variables) in bootstrap,67,2018-05-25T16:16:34Z,2020-11-07T14:10:25Z,-,0,0,0
twbs/bootstrap,MDU6SXNzdWUyOTAzMjQwMzM=,25394,Bootstrap v4 breaks Content-Security-Policy compared to Bootstrap v3,48,2018-01-22T00:58:04Z,2020-09-17T18:46:43Z,-,0,0,0
twbs/bootstrap,MDU6SXNzdWUzNzM4MTAzMzM=,27514,Support for prefers-color-scheme media query,39,2018-10-25T07:33:02Z,2020-08-20T17:34:58Z,-,0,0,0
twbs/bootstrap,MDU6SXNzdWUyNzQ3NTU2ODY=,24807,Feature: direction RTL support,38,2017-11-17T05:27:40Z,2020-10-06T14:50:53Z,-,0,0,0
twbs/bootstrap,MDU6SXNzdWUyOTQyNjU3ODc=,25550,BS4 custom.scss issue,34,2018-02-05T03:46:15Z,2019-09-14T02:14:19Z,-,0,0,0
sindresorhus/awesome,MDU6SXNzdWUxODEzNDI5Nzk=,784,How to grow Awesome?,46,2016-10-06T07:31:00Z,2020-09-30T02:49:07Z,-,0,0,0
sindresorhus/awesome,MDU6SXNzdWUxNjk2OTYxNjQ=,732,"More non-{tech,science} awesome lists please!",20,2016-08-05T21:03:56Z,2020-05-14T11:50:27Z,-,0,0,0
sindresorhus/awesome,MDU6SXNzdWUxNDk1MjIyNzY=,628,No longer actively maintained repositories,17,2016-04-19T17:07:16Z,2020-01-21T03:09:23Z,-,0,0,0
sindresorhus/awesome,MDU6SXNzdWUzMTg4NDU3Mzk=,1282,Adding non-English resources to a themed list?,8,2018-04-30T10:26:28Z,2019-12-03T10:43:23Z,-,0,0,0
sindresorhus/awesome,MDU6SXNzdWUxNzIyNjU4MTU=,748,Responsibility of the maintainer to respond in a timely fashion..,8,2016-08-20T10:59:04Z,2016-08-21T10:11:37Z,-,0,0,0
jwasham/coding-interview-university,MDU6SXNzdWUxOTczMjM4NjA=,87,Translation: Russian,57,2016-12-23T07:20:24Z,2020-04-10T06:42:21Z,-,0,0,0
jwasham/coding-interview-university,MDU6SXNzdWUxOTc0Mjg0Njg=,90,Translation: Turkish ,37,2016-12-23T21:33:03Z,2020-09-16T06:17:29Z,-,0,0,0
jwasham/coding-interview-university,MDU6SXNzdWUxOTg4NDc0OTQ=,118,Translation : Korean,30,2017-01-05T00:36:32Z,2019-04-16T06:17:05Z,-,0,0,0
jwasham/coding-interview-university,MDU6SXNzdWUxOTY5OTI2NDI=,81,Translation: Hindi,29,2016-12-21T17:45:04Z,2020-08-27T17:34:47Z,-,0,0,0
jwasham/coding-interview-university,MDU6SXNzdWUxOTc0ODM0MjY=,92,Translation: Vietnamese,15,2016-12-25T01:21:05Z,2018-09-02T09:51:37Z,-,0,0,0
